A-01-01,We have a malfunction.,‘indina mushkeeleh v shaghleh,عندنا مشكله ف شغله.
B-08-21,Square,mitRaba’,متربع
B-08-22,Tree,SadRaayeh,صدرايه
B-08-23,Valley,waad,واد
B-08-24,Village,HaaDhRah,حاضره
B-08-25,Where?,imnayn?,أمنين؟
B-09-01,Black,ikHal,أكحلْ
B-09-02,Blue,aKhDhaR,أخضرْ
B-09-03,Brown,shookolaa,شوكولا
B-09-04,Gray,igRee,أكٌري
B-09-05,Green,aKhDhaR ni’naa’,أخضر نعناع
B-09-06,Orange,oRaanzh,أورانج
B-09-07,Purple,veeyolee,فيولي
B-09-08,Red,aHmaR,أحمر
B-09-09,White,abyaDh,أبيض
B-09-10,Yellow,aSfaR,أصفر
B-09-11,Big,ikbeeR,أكبير
B-09-12,Deep,ghaaRig,غارقٌ
B-09-13,Long,iTweel,اطويل
B-09-14,Narrow,Thayig,ظيكٌ
B-09-15,Short (in height),igSeeR,أكٌصير
B-09-16,Short (in length),igSeeR,أكُصير
B-09-17,"Small, little",isgheeR,أسغير
B-09-18,Tall,iTweel,أطويل
B-09-19,Thick,ighleeTh,أغليظْ
B-09-20,Thin,iRgeeg,أرقٌيقٌ
B-09-21,Wide,waasi’,واسع
B-09-22,Round,mizagnen,مزكٌننْ
B-09-23,Straight,imsagam,امسكٌم
B-09-24,Square,mitRaba’,متربع
B-09-25,Triangular,mistaTwal,مستطول
B-09-26,Bitter,moR,مرْ
B-09-27,Fresh,izhdeed,أجديد
B-09-28,Salty,imalaH,املَحْ
B-09-29,Sour,HaamiTh,حامظْ
B-09-30,Spicy,HaaR,حارْ
B-09-31,Sweet,iHlo,أحلو
B-09-32,Bad,maaho zayn,ماهُ زين
B-09-33,Clean,maSgool,مصكٌولْ
B-09-34,Dark,imThalam,أمظلمْ
B-09-35,Difficult,waa’iR,واعر
B-09-36,Dirty,imasaKh,أمَسخْ
B-09-37,Dry,yaabis,يابسْ
B-09-38,Easy,ihwayen,أهوين
B-09-39,Empty,vaaRigh,فارغ
B-09-40,Expensive,waa’iR,واعر
B-09-41,Fast,bil’azhleh,بلعجله
B-09-42,Foreign,azhnabee,أجنبي
B-09-43,Full,imlaan,أملانْ
B-09-44,Good,zayn,زين
B-09-45,Hard (firm),gaasee,كٌاسي
B-09-46,Heavy,ithqeel,أثقيل
B-09-47,Inexpensive,maaho waa’iR,ماهو واعر
B-09-48,Light (illumination),Thaw,ظو
B-09-49,Light (weight),iKhveev,أخفيف
B-09-50,Local,min ahil id dashRa,من أهل الدشره
B-09-51,New,izhdeed,أجديد
B-09-52,Noisy,Hiso yaasiR,حسو ياسر
B-09-53,Old (about things),idRis,أدرَسْ
B-09-54,Old (about people),shaybaanee,شيباني
B-09-55,Powerful,imteen,أمتينْ
B-09-56,Quiet (person),mitkaayis,متكايسْ
B-09-57,Right / Correct,SaaliH,صالح
B-09-58,Slow,Raabee,رابي
B-09-59,Soft,iTRee,أطري
B-09-60,Very,Hata,حتَ
B-09-61,Weak,iDh’eev,أضعيف
B-09-62,Wet,mablool,مبلول
B-09-63,Wrong / Incorrect,KhaasiR,خاسرْ
B-09-64,Young,isgheeR,أسغير
B-09-65,Few / Little,ishway / isgheeR,أشوي / أسغير
B-09-66,Many / Much,yaasiR,ياسر
B-09-67,Part,zhizi,جزأ
B-09-68,Some / A few,shee min / ishway,شي من / أشوي
B-09-69,Whole,kaamil,كامل
B-10-01,Emergency!,TawaaRe!,طوارئ!
B-10-02,We need a doctor!,miHtaazheen il Tabeeb!,محتاجين الْطبيب!
B-10-03,Distress signal,a’RaaDh il alaam,أعراض الألم
B-10-04,Help!,‘aawnoonee!,عاونوني!
B-10-05,Evacuate the area!,Saybo liblaaSa!,صيبوا لبلاصة!
B-11-01,Food,iT’aam,أطعام
B-11-02,Can,SaTleh,صطله
B-11-03,Cup,kaas / kaaR,كاس / كار
B-11-04,Fork,foRshat,فُرشتْ
B-11-05,Knife,moos,موسْ
B-11-06,Plate,TaaSeh,طاصه
B-11-07,Spoon,kido,كدو
B-11-08,Beans,idlagaan likbeeR,أدلكٌان لكبير
B-11-09,Beer,beyeR,بيير
B-11-10,Bread,imbooRo,أمبورو
B-11-11,Butter,beyR,بير
B-11-12,Cheese,fRoomaazh,فروماج
B-11-13,Coffee,kaaveh,كافه
B-11-14,Fish,il Hoot,الحوت
B-11-15,Flour,vaaReen,فارين
B-11-16,Fruit,liHdazh,لحدجْ
B-11-17,Meat,il Ham,اللحم
B-11-18,Milk,il ban,اللبن
B-11-19,Oil,dilween,دلوين
B-11-20,Potatoes,bombeeteyR,بمبيتير
B-11-21,Rice,maaRo,مارُ
B-11-22,Salt,il milH,الملح
B-11-23,Soup,soop,سوب
B-11-24,Sugar,isikoR,أسكر
B-11-25,Tea,ataay,أتاي
B-11-26,Vegetables,il KhiDhRah,الخضره
B-11-27,Water,ilmeh,ألمَ
B-11-28,Wine,il KhamaR,الخمر
B-11-29,Drink,ishRab,أشرب
B-11-30,Eat,awkal,أوكلْ
B-11-31,Don’t push! We have plenty of food.,igbaTh! iT T’aam Khaalig,أكٌبظ! الطعام خالكٌ.
B-11-32,Give me your bowl.,a’Teenee gadHak,أعطيني كٌدحك.
B-11-33,Is the water safe to drink?,ilmeh yinshRab?,ألمَ ينشرب؟
B-11-34,Boil the water.,vayaTh ilmeh,فيظ ألمَ.
B-11-35,Wash your hands.,aSgal eydeek,أصكٌلْ أيديك.
B-11-36,Wash yourself here.,istaghsil hon,أستغسل هون.
B-11-37,We need ___ liters of potable water.,indoRo ___ leetRaat min ilmeh ilee yinshRab,أندورو ___ ليترات من ألمَ أللي ينشرب.
B-11-38,Where is the latrine?,idoosh imnayn?,أدوشْ أمنينْ؟
B-11-39,The latrine is to the ___.,idoosh i’la ___,أدوشْ أعل .___
B-11-40,left.,il ‘asReeya,العسري.
B-11-41,right.,il ‘aRbeeya,العربي.
B-11-42,straight ahead.,i’la Tool,أعل طول.
B-11-43,Is the food fresh?,iT’aam izhdeed?,الطعام أجديد؟
B-11-44,Is the food spoiled?,iT’aam KhaasiR?,الطعام خاسرْ؟
B-11-45,Burn this ___.,Hamee Thaa ___,حمي ذا .___
B-12-01,Gasoline,iSaanS,إيصانص.
B-12-02,Oil,weel,ويلْ
B-12-03,Diesel,gazwaal,كٌزوال
B-12-04,Gas (propane),gaaz,كٌاز
B-12-05,Liters,leetRaat,ليترات
B-12-06,Do you have ___?,‘indak ___?,عندك ___؟
B-12-07,Hydraulic fluid,saayil il hidRooleek,سايل الهيدروليك
B-12-08,Hydraulic system,niThaam il hidRooleek,نظام الهيدروليك
B-12-09,We need maintenance support.,naHna niHtaazho il da’im iS Seeyaaneh,نحن نحتاجو ألدعم الصيانه.
B-12-10,We need ___.,niHtaazho le ___,نحتاجو ل .___
B-12-11,400-cycle,doRit aRba’meeyeh,دوره أربعميه
B-12-12,3-phase,ithlit maRaaHil,أثلتْ مراحل
B-12-13,Alternating current,it tayaaR ilee yin’al,أتيار أللي ينعل
B-12-14,115-volt,meeyeh wo iKhmeSTa’shaR volt,ميه وأخمصطعشر فولت
B-13-01,Antibiotics,moDhaad Hayawee,مضاد حيوي
B-13-02,Bandage,ip paaSmeh,أباصمه
B-13-03,Blood,id dam,الدم
B-13-04,Burn,HoRg,حرقٌ
B-13-05,Clean,iSgal,أصكٌل
B-13-06,Dead,meeyit,ميت
B-13-07,Doctor,Tabeeb,طبيب
B-13-08,Fever,il Himeh,الحمه
B-13-09,Hospital,iT Tab,أطب
B-13-10,Infection,shee yi’dee,شي يعدي
B-13-11,Injured,mazhRooH,مجروح
B-13-12,Malnutrition,soo taghTheeyeh,سوء تغذية
B-13-13,Medic,Tabeeb,طبيب
B-13-14,Medicine,idwa,أدوَ
B-13-15,Nurse,saazh vaam,ساج فام
B-13-16,Poison,sim,سم
B-13-17,Sick,maReeDh,مريض
B-13-18,Vitamins,veetaameen,فيتامين
B-13-19,Wound,zhiRiH,جرح
B-13-20,I am a doctor.,anaa Tabeeb,أنا طبيب.
B-13-21,I am not a doctor.,anaa maanee Tabeeb,أنا ماني طبيب.
B-13-22,I am going to help.,anaa laahee in’aawnak,أنا لاهِ أنعاونكْ.
B-13-23,Can you walk?,itgid titwaaTa?,أتكٌد تتواط؟
B-13-24,Can you sit?,itgid tig’id?,أتكٌد تكٌعد؟
B-13-25,Can you stand?,itgid togev?,أتكٌد توكٌفْ؟
B-13-26,Are you in pain?,inta mit-alim?,أنت متألمْ؟
B-13-27,You will get a shot. (injection),laahee na’Took dageh,لاهِ نعطوك دكُه.
B-13-28,I will take you to the hospital.,laahee nimshee beek shoR Tab,لاهِ نمشي بيك شور الطب.
B-13-29,What is wrong?,inta imaalak?,أنت أمالكْ؟
B-13-30,Are you injured?,inta mazhRooH?,أنت مجروح؟
B-13-31,Can you feed yourself?,itgid itwakal RaaSak?,أتكٌد أتوًكل راصكْ؟
B-13-32,Open your mouth.,Hil vomak,حل فمكْ.
B-13-33,Are you pregnant?,intee Haamil?,أنتِ حاملْ؟
B-14-01,Abdomen,il kiRsh,الكرشْ
B-14-02,Ankle,ka’beh,كعبه
B-14-03,Arm,iThRaa’,أذراع
B-14-04,Bone,i’Tham,أعظمْ
B-14-05,Brain,idmaagh,أدماغ
B-14-06,Chest,gaashoosh,كٌاشوشْ
B-14-07,Ear,oThin,أوذن
B-14-08,Elbow,maRvag,مرفكٌ
B-14-09,Eyes,‘ayneen,عينين
B-14-10,Face,ozheh,أوجهْ
B-14-11,Finger,iSba’,أصبع
B-14-12,Foot,ikRaa’,أكراع
B-14-13,Hair,izhghab,أزغبْ
B-14-14,Hand,ayd,أيد
B-14-15,Head,RaaS,راصْ
B-14-16,Heart,galib,قٌلب
B-14-17,Kidney,kilweh,كلوه
B-14-18,Knee,Rikbeh,ركبه
B-14-19,Leg,Saag,صاكٌ
B-14-20,Lips,iTRaaReem,أطراريم
B-14-21,Liver,kibdeh,كبده
B-14-22,Lungs,Reeyeh,ريه
B-14-23,Mouth,vom,فم
B-14-24,Neck,Ragbeh,رقٌبه
B-14-25,Nose,iKhnaaviR,أخنافر
B-14-26,Pelvis / Groin,HawTh in naythee,حوظ النيثي
B-14-27,Ribs,iThloo’,أظلوعْ
B-14-28,Shoulder,kitv,كتف
B-14-29,Skull,zhomzhmeh,جمجمه
B-14-30,Spine,ivlik iTh-haR,فلكْ الظهر
B-14-31,Stomach (area),il kiRsh,الكرشْ
B-14-32,Stomach (organ),zhowv,جوف
B-14-33,Teeth,sinayn,سنين
B-14-34,Toe,iSbi’,أصبع
B-14-35,Tongue,ilsaan,لسان
B-14-36,Wrist,Risiq,رسق
B-15-01,General,zheneRaal,جنرال
B-15-02,Admiral,admeeRaal,آدميرال
B-15-03,Colonel,koloneyl,كولونل
B-15-04,Lieutenant Colonel,yaTneh koloneyl,يطنه كولونل
B-15-05,Commander,komaandeh,كوماندَ
B-15-06,Major,adzhidaan shef,أدجيدان شيف
B-15-07,Captain,kaapeetayn,كابتن
B-15-08,Lieutenant,yaTneh,يطنه
B-15-09,Senior Sergeant,saRzhaanh shef,سرجانه شيف
B-15-10,Soldier,SandRee,صندري
B-15-11,Airman,SandRee il zhaweeyeh,صندري الجوية
B-15-12,Seaman,SandRee il baHReeyeh,صندري البحرية
B-15-13,Marine,il baHReeyeh,البحرية
B-16-01,We must spend the night here.,yaalitna inbaato hon,يالتنَ أنباتوا هون.
B-16-02,Is there a dining facility here?,hon maaveeh iblaydeh il ‘isheh?,هون مافيه أبليده ألَعشه؟
B-16-03,How many kilometers to the nearest town?,agRab dashRah min hon laahee it’ood kam min keel?,أقٌرب دشره من هون لاهِ أتعود كم من كيل؟
B-16-04,Are there any hotels near here?,hon maaveeh awtlaat igRayib?,هون مافيه أوتلاتْ أقٌريب؟
B-16-05,Are there any restaurants near here?,hon maaveeh maTaa’im igRaybeen?,هون مافيه مطاعم أقٌريبين؟
B-16-06,We want to go to ___.,indoRo ingeeso ___,أندورو أنكٌيسو .___
B-16-07,Are there rental cars available?,hon maaveeh lokaasiyon?,هون مافيه لوكاسيون؟
B-16-08,Is there a telephone available?,hon maaveeh talefon Saaybeh?,هون مافيه تلفون صايبه؟
B-16-09,We need ___ liters of potable water.,indoRo ___ leetRaat min ilmeh ilee yinshRab,أندورو ___ ليترات من ألمَ أللي ينشرب.
B-17-01,Air Force,qowa il zhaweeyeh,قوة الجوية
B-17-02,Army,il zhaysh,الجيش
B-17-03,Marines,il baHReeyeh,البحرية
B-17-04,Navy,silaaH il baHReeyeh,سلاح البحرية
B-17-05,Air Defense,divaa’ il zhaw,دفاع الجو
B-17-06,Commander,qaayid,قايد
B-17-07,Dentist,Tabeeb is sinayn,طبيب أسنَين
B-17-08,Doctor,Tabeeb,طبيب
B-17-09,Driver,shovayR,شوفير
B-17-10,Farmer,mozaaRi’,مزارع
B-17-11,Fisherman,Sayaad,صياد
B-17-12,Government employee,mowaThav v id dawleh,موظف ف الدوله
B-17-13,Guard,gaRdaay,كٌرداي
B-17-14,Housewife,om id daaR,أم الدار
B-17-15,Laborer,manayvaaR,منيفار
B-17-16,Mechanic,meekaanisyaanh,ميكانسيانهْ
B-17-17,Messenger,maRsool,مرسول
B-17-18,Pilot,peelot,بيلوتْ
B-17-19,Policeman,poleeseya,بوليسيي
B-17-20,Sailor,baHaaR,بحار
B-17-21,Businessman,taazhiR,تاجر
B-17-22,Shopkeeper,wagaav booteek,وكٌاف بوتيكٌ
B-17-23,Soldier,SandRee,صندري
B-17-24,Student,tilmeedee,تلميدي
B-17-25,Teacher,gaRaay,كٌرايْ
B-18-01,Where is my customs declaration?,waynheeyeh taaqiT TaSReeHee lidwaan?,وينهي تاقط تصريحي لدوان؟
B-18-02,I do not have anything to declare.,maa ‘indee shee imSaRaH beeh,ما عندي شي أمصرح بيهْ.
B-18-03,These goods are personal.,haaTha idbish idbish KhaaS,هاذ الدبش دبش خاص.
B-18-04,Not for sale.,maa yinbaa’,ما ينباع.
B-18-05,Can you help me fill out the forms?,itgid it’aawinee namla Tho ish shakleeyaat?,أتكٌدْ أتعاوني نمل ذو الشكليات؟
B-18-06,Is this correct?,haaTha SaaliH?,هاذ صالح؟
B-18-07,Here is my passport.,paaSpooRee Raa’eeh,أباصبوري راعيه.
B-18-08,Here is my visa.,veezaahee Raa’eeha,فيزاهي راعيه.
B-18-09,I have no Ouguiya.,maa ‘indee loogeeya,ما عندي لوكٌيَ.
B-18-10,Ad valorem,Hasab il qeemeh,حسب القيمة
B-18-11,Ammunition,iTh ThaKheeRa,الذخيرة
B-18-12,Baggage,bagaash,بكٌاشْ
B-18-13,Bill of lading,koneesmaanh,كونيسمانهْ
B-18-14,Cargo,ish shaHin,الشحن
B-18-15,Customs,idwaan,أدوان
B-18-16,Customs declaration,taSReeH lidwaan,تصريح لدوان
B-18-17,Customs tax,DhaReebit idwaan,ضريبة أدوان
B-18-18,Customs worker,waaHid min idwaan,واحد من دوان
B-18-19,Damaged,midagdag,مدكٌدكٌ
B-18-20,Delivery,tilHaag,تلحاكٌ
B-18-21,Duty,waazhib,واجب
B-18-22,Expenditures,navaqaat,نفقات
B-18-23,Export,iSadaR,إصدرْ
B-18-24,False,KhaasiR,خاسر
B-18-25,Foreign currency,‘imleh azhnabeeyeh,عملة أجنبية
B-18-26,Form (document),watheeqa,وثيقة
B-18-27,Holding,imlam,أملمْ
B-18-28,Import,yistawRad,يستوردْ
B-18-29,Insurance,aSeeRaanS,آصيرانص
B-18-30,Mauritanian,mooReetaanee,موريتاني
B-18-31,Loading,iRvood idbish,أرفود الدبشْ
B-18-32,Name of goods,isim il biDhaa’a,أسم البضاعة
B-18-33,Narcotics,moKhadiR,مخدر
B-18-34,National treasure,Khazeenit id dawleh,خزينة الدولة
B-18-35,Nomenclature,moSTalaHaat,مصطلحات
B-18-36,On-board,Raakib,راكب
B-18-37,Origin,laSil,لصلْ
B-18-38,Owner,il maalik,المالك
B-18-39,Packing list,laa-eHit it tikvaaT,لائحة التكفاط
B-18-40,Passport,paaSpoR,باصبورْ
B-18-41,Permission,liThin,لذنْ
B-18-42,Personal use,istiKhdaam shaKhSee,إستخدام شخصي
B-18-43,Personnel,shaKhSee,شخصي
B-18-44,Prohibited,moHaRam,محرم
B-18-45,Property,milkeeyeh,ملكية
B-18-46,Rate,nisbeh,نسبة
B-18-47,Rate of exchange,si’iR il badeeleh,سعر البديلة
B-18-48,Receipt,waSil,وصل
B-18-49,Relics,vaThleh,فظله
B-18-50,Restricted,maHdood,محدود
B-18-51,Souvenir,sovaneeR,سوفنير
B-18-52,Specification,mowaaSavaat,مواصفات
B-18-53,Storage,maagazayneh,ماكٌزينه
B-18-54,Tariff,Sog,صوكٌ
B-18-55,Tax-free,mi’vee min iDh DhaRaayib,معفي من الضرايب
B-18-56,To answer,itzhaawib,أتجاوب
B-18-57,To be responsible for,it’ood mas-ool ‘an,أتعود مسؤول عن
B-18-58,To export,itSadaR,أتصدرْ
B-18-59,To fill out,tamla shakleeyeh,تمل شكلية
B-18-60,To present for customs inspection,taHThaR il tavteesh idwaan,تحظر ألتفتيش دوان
B-18-61,Transportation,in naqil,النقل
B-18-62,Unloading,iTRooH idbish,أطروح الدبشْ
B-18-63,Valuables,sheeyaat waa’Reen,شيات واعرين
B-18-64,Value,qeemeh,قيمة
B-18-65,Visa,veeza,فيزا
B-18-66,Weapons,silaaH,سلاح
B-18-67,X-ray machine,Radjo iT Tab,رادو أطب
B-19-01,Aunt (paternal / maternal),‘ameh / Khaaleh,عمه / خاله
B-19-02,Brother,Kho,خو
B-19-03,Child,insheeR,إينشير
B-19-04,Children,tiRkeh isghayReen,تركه أسغيرين
B-19-05,Cousin (paternal / maternal),wil ‘am / wil Khaaleh,ول عم / ول خاله
B-19-06,Daughter,mint,منت
B-19-07,Family,ahil,أهل
B-19-08,Father,bo,بو
B-19-09,Grandfather,zhid,جدْ
B-19-10,Grandmother,zhidaat,جداتْ
B-19-11,Husband,mooleh Khaymeh,موله خيمه
B-19-12,Man,Raazhil,راجل
B-19-13,Men,Razhaaleh,رجَاله
B-19-14,Mother,om,أمْ
B-19-15,Relatives,aqaaRib,أقارب
B-19-16,Sister,Khit,خت
B-19-17,Son,wil,ول
B-19-18,Uncle (paternal / maternal),‘am / Khaal,عمْ / خال
B-19-19,Wife,moolaat Khaymeh,مولاتْ خيمه
B-19-20,Woman,imRah,أمره
B-19-21,Women,i’layaat,أعليات
B-20-01,Cold,baaRid,بارد
B-20-02,Dry,yaabis,يابس
B-20-03,Earthquake,hazeh aRDheeyeh,هزة أرضية
B-20-04,Fog,lughmaam,لغمام
B-20-05,High winds,ReeyaaH imteeneh,رياح أمتينه
B-20-06,Hot,Haamee,حامي
B-20-07,Humidity,RoToobeh,رطوبة
B-20-08,Ice,iglaaS,أكٌلاص
B-20-09,Lightning,ibRag,أبرقٌ
B-20-10,Rain,isHaab,أسحاب
B-20-11,Sandstorm,il ghabRa,الغبره
B-20-12,Severe,imteen Hata,أمتين حتَ
B-20-13,Snow,idgeeg iglaaS,دقٌيقٌ أكٌلاصْ
B-20-14,Storm,dazeh,دزه
B-20-15,Temperature,daRazht il HaRaaRa,درجة الحرارة
B-20-16,Thunder,iR’ad,أرعدْ
B-20-17,Weather,izhaw,أجوْ
B-20-18,Wet,mablool,مبلول
B-20-19,Typhoon,zi’vaygeh,زعفيكٌه
B-20-20,Tornado,zi’vaygeh,زعفيكٌه
B-21-01,Airfield,maTaaR,مطار
B-21-02,Ammunition,ThaKheeRah,ذخيرة
B-21-03,Armed men,Raazhil misalaH,راجل مسلح
B-21-04,Artillery,il madva’eeyeh,المدفعية
B-21-05,Barracks,Sangeh,صنكٌه
B-21-06,Base,baaz,باز
B-21-07,Camp,moKhayam,مخيم
B-21-08,Cannon,madva’ ikbeeR,مدفع أكبير
B-21-09,Car,wateh,وته
B-21-10,Commander,qaayid,قايد
B-21-11,Enemy,i’do,أعدو
B-21-12,Explosive,motavazhiRaat,متفجرات
B-21-13,Friendly,maaho i’do,ماهُ أعدو
B-21-14,Grenade,igRaynaat,أكٌرينات
B-21-15,Gun,madva’,مدفع
B-21-16,Jeep,zheep,جيب
B-21-17,Kilometer,keel,كيل
B-21-18,Knife,moos,موسْ
B-21-19,Leader,qaayid,قايد
B-21-20,Machine gun,Rashaasheh,رشاشه
B-21-21,Mine,meen,مين
B-21-22,Minefield,iblad veeh il meen,بلد فيه المين
B-21-23,Missile,SaaRooKh,صاروخ
B-21-24,Mortar,Rashaash,رشاش
B-21-25,Officer,DhaabiT,ضابط
B-21-26,Pistol,kaaboos,كابوسْ
B-21-27,Plane,TaayRah,طايره
B-21-28,Protection,il Hemaayeh,الحماية
B-21-29,Refugee,laazhe,لاجئ
B-21-30,Rifle,madva’,مدفع
B-21-31,Rocket,SaaRooKh,صاروخ
B-21-32,Rocket launcher,qaThaavit iS SawaaReeKh,قذافت الصواريخ
B-21-33,Shelter,sakan,سكن
B-21-34,Ship,baaKhRah,باخره
B-21-35,Sniper,qanaaS,قناص
B-21-36,Soldier,SandRee,صندري
B-21-37,Stronghold,maRkaz,مركز
B-21-38,Tank,siteyRneh,سِتيرنه
B-21-39,Tent,Khaymeh,خيمه
B-21-40,Trailer,kontineyR,كونتِنير
B-21-41,Truck,wateh ikbeeReh,وته أكبيره
B-21-42,Unit,wiHdeh,وِحده
B-21-43,Weapons,asliHa,اسلحة
B-22-01,Angle,naaHeeyeh,ناحيه
B-22-02,Azimuth,samit,سمت
B-22-03,Cleared lane,ziR min iTReeg maa veeh shee,زر من الطريقٌ مافيه شي
B-22-04,Compass,bawSaleh,بوصله
B-22-05,Danger area,iblaydeh KhaTeeRah,أبليده خطيره
B-22-06,Demolition,tiksaaR,تكسار
B-22-07,Grappling hook,SanaaRah,صناره
B-22-08,In place,ivbilo,أفبلو
B-22-09,Metallic,min il ma’dan,من المعدن
B-22-10,Mine,il meen,المين
B-22-11,Minefield,iblad il meen,بلد المين
B-22-12,Non-metallic,maaho min il ma’dan,ماهو من المعدن
B-22-13,Pace,Tool il KhiTwa,طول الخطوه
B-22-14,Stake,otid,أوتدْ
B-22-15,Tree,SadRaayeh,صدرايه
B-22-16,Tape,shaReeT,شريط
C-01-01,Do you understand this language?,inta tevham Thee il loogha?,أنت تفهم ذي اللوغه؟
C-01-02,We are here to help you.,naHna hon eeyaak in’aawnook,نحن هون أياك أنعاونوكْ.
C-01-03,I do not understand.,maanee vaahim looghtak,ماني فاهم لوغتكْ.
C-01-04,There is no one available who speaks Hassaniya.,hon maa veeh Had Saayib yitkalim il Hasaaneeyeh,هون مافيه حد صايب يتكلم الحسانيه.
C-01-05,I understand.,anaa vaahim,أنا فاهم.
C-01-06,"Repeat, please.",‘il min vaDhlak,علْ من فضلكْ.
C-01-07,Come with me.,wahaay im’aaya,وهايْ أمعايَ.
C-01-08,Be quiet.,iskit,أسكتْ.
C-01-09,Describe it with gestures.,oSavhaalee bil ishaaRa,أوصفهالي بلِشاره.
