A-01-01,We have a malfunction.,‘idnaa ‘ajez,عدنا عجز
M-14-19,"This illness will pass slowly, but your child’s health will return completely.","il maraDh raH yirooH ishwaya ishwaya, bas SiHat Tiflich raH titHassan tamaman",المرَض رَح يروح شوية شوية، بَس صحّة طِفلِچ رَح تِتحَسّن تماماً
M-14-20,Feed the child small portions every few hours.,waklee Tiflich wajbaat qaleela kul cham saa’a,وكلي طِفلِچ وَجبات قليلة كُل چَم ساعَة
M-14-21,Help your child drink this every few hours.,saa’dee Tiflich yishrab haThaa kul cham saa’a,ساعدي طِفلِچ يشرَب هذا كُل چَم ساعَة
M-14-22,Feed this medicine to your child every four hours.,i’Tee Tiflich haThaa il duwa kul arba’ saa’aat,إعطي طِفلِچ هذا الدِوا كُل أربع ساعات
M-14-23,Allow your child to sleep.,Khalee Tiflich yinaam,خلّي طِفلِچ ينام
M-14-24,You need to sleep as much as the child does.,intee tiHtaajeen itnaameen mithil Tiflich,إنتِ تِحتاجين تنامين مِثِل طِفلِچ
M-14-25,Bring your child back here tomorrow.,jeebee Tiflich baachir,جيبي طِفلِچ باچِر
M-14-26,Bring your child back if there is no improvement by tomorrow.,jeebeelna Tiflich baachir iThaa maa Saar zayn,جيبيلنا طِفلِچ باچِر إذا ما صار زين
M-14-27,We will continue to follow the health of your child with you.,raH intaabi’ Haalat Tiflich,رَح نتابِع حالة طِفلِچ
M-15-01,Do you have any chest pain or tightness?,‘indak wija’ aw Dheeq bil Sadir?,عِندَك وِجَع أو ضيق بالصَدِر؟
M-15-02,Are you having trouble trying to breathe?,‘indak Su’ooba min titnafas?,عِندَك صعوبَة من تتنفّس؟
M-15-03,Do you have chest pain over your entire chest?,Sadrak kulo yoj’ak?,صَدرَك كلو يوِجَعك؟
M-15-04,Do you have pain from your chest into your arm?,‘indak wija’ ib Sadrak wo biThraa’ak?,عِندَك وِجَع بصَدرَك وبذراعك؟
M-15-05,Have you had this type of chest pain before?,Saar ‘indak gabul mithil chee wija’ bil Sadir?,صار عِندَك گَبُل مثل چي وِجَع بالصَدِر؟
M-15-06,Do you feel light- headed with the chest pain?,tish’ur ibdoKha min yoj’ak Sadrak?,تشعُر بدوخَة من يوِجَعك صَدِرك؟
M-15-07,Do you sweat with the chest pain?,ti’rag min yoj’ak Sadrak?,تِعرَگ من يوِجَعك صَدِرك؟
M-15-08,This heart pill may give you a headache.,haaThee il Habaaya maal il galub yimkin itsawee ‘indak wija’ raas,هاذي الحَبايّة مال الگَلب يمكِن تسَوّي عِندَك وِجَع راس
M-15-09,This will go under your tongue.,haay HuT ha jawa ilsaanak,هاي حَطها جَوّه لسانك
M-15-10,Chew this and swallow it.,igruT ha wobla’ha,إگرُطها وإبلَعها
M-15-11,Let us take care of you.,Khaleena indaareek,خَلّينا نداريك
M-16-01,Open your eyes.,iftaH i’yoonak,إفتَح عيونَك
M-16-02,Close your eyes.,sid i’yoonak,سِد عيونَك
M-16-03,Do you have any pain in your eyes?,‘indak wija’ b’yoonak?,عِندَك وِجَع بعيونَك؟
M-16-04,Do you wear corrective glasses?,tilbas naDhaara Tibeeya?,تِلبَس نظارة طِبيّة؟
M-16-05,Do you wear contact lenses?,tilbas ‘adasaat laaSqa?,تِلبَس عَدَسات لاصِقَة؟
M-16-06,Is your vision clear in both eyes?,itshoof zayn?,تشوف زين؟
M-16-07,Which eye has a new problem?,ay ‘ayn beeha al mushkila al jedeeda?,أي عين بيها المُشكِلَة الجديدة؟
M-16-08,Do you see my fingers?,itshoof aSaab’ee?,تشوف أصابعي؟
M-16-10,How many fingers do you see right now?,cham iSba’ itshoof alHeen?,چَم إصبع تشوف الحين؟
M-16-11,I am going to be looking into your eyes with this.,raH abaawi’ b’yoonak ib haaThee,رَح أباوع بعيونَك بهاذي
M-16-12,Keep your head still.,laa itHarik raasak,لا تحَرّك راسَك
M-16-13,Look straight ahead and focus on an object.,baawi’ ligidaam wo rakiz ‘ala hal shay,باوع ليگدّام ورَكّز على هالشي
M-16-14,"While I am looking into your eyes, continue to focus on that object.","ibqa imrakiz ‘ala Thaak al shay, min abaawi’ b’yoonak",إبقى مرَكّز على ذاك الشي، مِن أباوع بعيونَك
M-16-15,I am going to put some drops into your eye.,raH aKhalee cham gaTra b’yoonak,رَح أخَلّي چَم گَطرَة بعيونَك
M-16-16,I am going to blow a puff of air into your eye.,raH anfaKh b’yoonak,رَح أنفُخ بعيونَك
M-16-17,Hold very still while I remove the foreign body in your eye.,laa titHarak min aTali’ haThaa ish shay min ‘aynak,لا تتحَرّك من أطلّع هذا الشي مِن عينَك
M-17-01,Does this feel normal?,tish’ur haThaa ‘aadee?,تشعر هذا عادي؟
M-17-02,Do this.,sawee chee,سوّي چي
M-17-03,Move your toes.,Harik aSaabi’ reelak,حَرّك أصابع رِيلَك
M-17-04,Do you have numbness or tingling?,reelak imKhadara lo imnamala?,ريلك مخدرة لو منِ ِّملة؟
M-17-05,Where do you feel the numbness or tingling?,wayn imKhadara wo wayn imnamala?,وين مخدرة ووين منِ ِّملة؟
M-17-06,Did the numbness or tingling start today?,ishwakit itKhadarat wo itnamalat?,شوكت تخدرت وتنملت؟
M-17-07,How many days have you had the numbness or tingling?,Saar ilhaa cham yom imKhadara wo imnamala?,صار لها چَم يوم مخدرة ومنملة؟
M-17-08,Do you feel weak?,tish’ur inta Dha’eef?,تشعر إنت ضعيف؟
M-17-09,Did the weakness start today?,bida aDh Dhu’af al yom?,بِدَا الضعف اليوم؟
M-17-10,How many days have you had the weakness?,Saar lak cham yom wo inta Dha’eef?,صار لَك چَم يوم وإنت ضعيف؟
M-18-01,Bend your arm.,iHnee iThraa’ak,إحني ذراعَك
M-18-02,Bend your leg.,iHnee saaqak,إحني ساقَك
M-18-03,Breathe normally.,itnafas ‘aadee,تنَفّس عادي
M-18-04,Close your eyes.,ghamuDh i’yoonak,غَمّض عيونَك
M-18-05,Close your hand.,sid eedak,سِد إيدَك
M-18-06,Close your mouth.,sid Halgak,سِد حَلگَك
M-18-07,Cough,guH,گُح
M-18-08,Cough some phlegm into this cup.,Thib balgham ibhal koob,ذب بَلغَم بهل الكوب
M-18-09,Hold this under your tongue.,Khalee haay jawa ilsaanak,خلّي هاي جَوّه لسانَك
M-18-10,Hold your breath.,laa titnafas,لا تتنفس
M-18-11,Lie down.,itmadad,إتمَدّد
M-18-12,Lie flat.,itmadad ‘adil,إتمَدّد عَدِل
M-18-13,Lie on your abdomen.,itmadad ‘ala baTnak,إتمَدّد على بَطنَك
M-18-14,Lie on your back.,itmadad ‘ala Dhahrak,إتمَدّد على ظَهرَك
M-18-15,Look at my finger as it moves.,baawi’ ‘ala iSba’ee laman aHarka,باوع على إصبعي لمّن أحَرّكه
M-18-16,Look down.,baawi’ lijawa,باوع ليجَوّه
M-18-17,Look straight.,baawi’ ligidaam,باوع ليگِدّام
M-18-18,Look up.,baawi’ lifog,باوع ليفوگ
M-18-19,Open,iftaH,إفتح
M-18-20,Open your eyes.,iftaH i’yoonak,إفتح عيونَك
M-18-21,Open your hand.,iftaH eedek,إفتح إيدَك
M-18-22,Open your mouth.,iftaH Halgak,إفتح حَلگَك
M-18-23,Push here.,idfa’ ihnaa,إدفَع هنا
M-18-24,Sit down.,ig’ed,إگعد
M-18-25,Sit up.,goom ig’ed,گوم إگعد
M-18-26,Squeeze here.,i’Ser ihnaa,إعصر هنا
M-18-27,Stand on the scale.,ogaf ‘al meezaan,أوگَف عالميزان
M-18-28,Stand up.,ogaf,أوگَف
M-18-29,Take a deep breath in and out.,jur nafas ‘ameeq wo Tal’o,جٌر نَفَس عميق وطَلّعو
M-18-30,Touch my finger with this finger.,ilzam iSba’ee ibhal iSba’,إلزم إصِبعي بهل الإصبع
M-18-31,Touch your finger to your nose like this.,Khalee iSba’ak ‘ala Khashmak mithlee,خلّي إصبعَك على خَشمَك مثلي
M-18-32,Turn around.,indaar,إندار
M-18-33,Turn onto this side.,indaar ‘ala hal SafHa,إندار على هالصَفحَة
M-18-34,Walk like this.,imshee chee,إمشي چي
M-18-35,Walk towards me.,ta’aal yamee,تعال يمي
M-18-36,You need an X-ray of your chest.,tiHtaaj ashi’a il Sadrak,تحتاج أشعّة لصَدرَك
M-19-01,Can I do anything to help you?,agdar asaa’dak ibshay?,أگدَر أساعدَك بشي؟
M-19-02,Come with me.,ta’aal wiyaaya,تعال ويّايه
M-19-03,I will try not to hurt you.,maa raH aTheek,ما رَح أذيك
M-19-04,I am going to lift you.,raH asheelak,رَح أشيلَك
M-19-05,I am going to put a needle in your arm to give you medication.,raH aKhalee ibra biThraa’ak Hata a’Teek duwa,رَح أخلّي إبرة بذراعَك حتى أعطيك دوا
M-19-06,I am sorry I hurt you.,mit-asif li-an aThaytak,متأسّف لإن أذيتّك
M-19-07,I must adjust the tube in your chest.,laazim a’adil al inboob ibSadrak,لازِم أعدّل الإنبوب بصَدرَك
M-19-08,I must change your dressings.,laazim aghayir iDh Dhamadaat,لازِم أغيّر الضمّادات
M-19-09,I must cut your hair.,laazim aguS sha’rak,لازم أگص شَعرَك
M-19-10,I must give you a shave.,laazim azaynak,لازِم أزينك
M-19-11,I must give you a suppository into your rectum.,laazim aKhaleelak fiteela,لازِم أخَلّيلك فِتيلَة
M-19-12,I must give you an injection with a needle.,laazim a’Teek ibra,لازِم أعطيك إبرَة
M-19-13,I must make your bed.,laazim asawee fraashak,لازِم أسوّي فراشَك
M-19-14,I must wash your hair.,laazim aghasil sha’rak,لازِم أغسِل شَعرَك
M-19-15,I will help you dress.,raH asaa’dak tilbas ihdoomak,رَح أساعدَك تِلبَس هدومك
M-19-16,I will help you undress.,raH asaa’dak tinza’ ihdoomak,رَح أساعدَك تِنزَع هدومك
M-19-17,Put the gown on.,ilbas haay il hudoom,إلبَس هاي الهدوم
M-19-18,Put your arms around my shoulders.,Khalee eedak ‘ala chitfee,خلّي إيدك على چِتفي
M-19-19,This medicine will take the pain away.,haThaa id duwa yewaKher il wija’,هذا الدوا يوخَر الوِجَع
M-19-20,This will help you feel better.,haThaa raH yiKhaleek itSeer zayn,هذا رَح يخَليك تصير زين
M-19-21,Would you like more?,treed ba’ad?,تريد بَعَد؟
M-20-01,Everything will be done to make you feel better again.,raH inHaawil insawee kul shay Hata itSeer zayn,رَح نحاول نسوي كل شي حتى تصير زين
M-20-02,You are only slightly wounded.,haThaa il jaraH baseeT,هذا الجَرح بسيط
M-20-03,You will soon be up again.,raH iTeeb wo itgoom ibsur’a,رَح تطيب وتگوم بسرعة
M-20-04,"Your condition is serious, but you will get better.","Haaltak KhaTra, bas raH itSeer zayn",حالتَك خطرة، بس رَح تصير زين
M-20-05,You will get better if you let us take care of you.,iThaa itKhaleena in’aaljak raH itSeer zayn,إذا تخلينا نعالجك رح تصير زين
M-20-06,You are seriously hurt.,inta kulish mit’awir,إنت كلّش مِتعوّر
M-20-07,You are seriously ill.,inta kulish mareeDh,إنت كلّش مريض
M-20-08,It will probably take a long time for you to get better.,tiHtaaj wakit Taweel Hata itSeer zayn,تِحتاج وَكت طويل حتى تصير زين
M-20-09,The surgery was successful.,al ‘amaleeya chaanet naajHa,العملية چانت ناجحة
M-20-10,We were able to help you.,gedarna in’aaljak,گِدرنا نعالجك
M-20-11,We had to remove this.,injabarna insheel haThaa,إنجبرنا نشيل هذا
M-20-12,"We tried, but we could not save this","Haawelna, bas maa gedarna inbaqee haThaa",حاولنا، بَس ما گدرنا نبقي هذا
M-20-13,You were hurt very badly.,inta chinit kulish mit’awir,إنتَ چنِت كلش مِتعوّر
M-20-14,You will be fine.,raH itSeer zayn,رَح تصير زين
M-20-15,You will need time to heal.,tiHtaaj wakit Hata iTeeb,تِحتاج وَكِت حتى تطيب
M-20-16,We will arrange for your transport back to your country.,raH inratib umoor rujoo’ak il baladak,رَح إنرتّب أمور رجوعك إلبلدك
M-20-17,We will send you to another place.,raH indizak ilghayr makaan,رَح إندِزّك لغير مكان
M-20-18,You need more care.,tiHtaaj kulish ri’aaya,تحتاج كلش رعاية
M-20-19,You will return to your unit when you are better.,raH tirja’ il waHedtak laman itSeer zayn,رَح ترَجع لوِحِدتَك لمِن تصير زين
M-20-20,I will be back soon.,raH arja’ ba’ad ishwaya,رَح أرجع بعد شوية
M-20-21,I will check back later to see how you are doing.,raH arja’ mara thaaneya Hata ashoofak shlon Sirit,رَح أرجع مرّة ثانية حتى أشوفك شلون صرت
M-20-22,Return tomorrow so we can be sure you get better.,ta’aal baachir Hata nit- akad Sirit zayn,تعال باچِر حتى نتأكد صرت زين
M-20-23,Return in one week so we can be sure you get better.,ta’aal wara isboo’ Hata nit-akad Sirit zayn,تعال وره إسبوع حتى نتأكد صرت زين
M-21-01,Do you have any of the following problems?,‘indak mushkila min haaThee il mashaakil?,عندك مشكلة من هاذي المشاكل؟
M-21-02,Abdominal pain,wija’ bil baTin,وجع بالبطن
M-21-03,Back pain,wija’ biDh Dhahar,وجع بالظهر
M-21-04,Bleeding from anywhere,nazeef ibay makaan bil jisim,نزيف بأي مكان بالجسم
M-21-05,Bloody sputum,balgham ib dam,بلغم بدم
M-21-06,Bloody stools,dam bil Khurooj,دم بالخروج
M-21-07,Chest pain,wija’ bil Sader,وجع بالصدر
M-21-08,Chills,barid,برد
M-21-09,Confusion inside your head,KharbaTa bir raas,خربطة بالراس
M-21-10,Cough,gaHa,گحة
M-21-11,Cramps,tashanuj bil baTin,تشنج بالبطن
M-21-12,Dark urine,bol lona ToKh,بول لونه طوخ
M-21-13,Diarrhea,is haal,إسهال
M-21-14,Ear pain,wija’ bil-iThin,وجع بالأذن
M-21-15,Fever,sKhoona,سخونة
M-21-16,Headache,wija’ raas,وجع راس
M-21-17,Hemorrhoids,buwaaseer,بواسير
M-21-18,Infection,iltihaab,إلتهاب
M-21-19,Insect bite,‘aDha maalat Hashara,عضة مالة حشرة
M-21-20,Itching,Haka,حكة
M-21-21,Joint pain,wija’ bil mafaaSil,وجع بالمفاصل
M-21-22,Loss of consciousness,ighmaa,إغماء
M-21-23,Menstrual cramps,wija’ maal il ‘aada,وجع مال العادة
M-21-24,Muscle pains,awjaa’ bil ‘aDhalaat,أوجاع بالعضلات
M-21-25,Nausea,lu’baan al nafes,لعبان النفس
M-21-26,Rash,TafaH,طفح
M-21-27,Throat pain,wija’ bil Halig,وجع بالحلگ
M-21-28,Tooth pain,wija’ bil sin,وجع بالسن
M-21-29,Yellow eyes,‘uyoon Safra,عيون صفرة
M-21-30,Vaginal bleeding,nazeef bil mahbal,نزيف بالمهبل
M-21-31,Voices inside your head,aSwaat ghareeba ibraasak,أصوات غريبة براسك
M-21-32,Vomiting,izwaa’,زواع
M-22-01,I need to give you some medicine.,abee a’Teek duwa,أبي أعطيك دوا
M-22-02,This medicine is for pain.,haThaa il duwa lil wija’,هذا الدوا للوجع
M-22-03,This medicine will fight infection,haThaa il duwa raH yemna’ al iltihaab,هذا الدوا راح يمنع الإتهاب
M-22-04,Avoid alcohol while taking medicine.,itjanab il Khamur min taKhuTh il duwa,إتجنب الخمر من تاخذ الدوا
M-22-05,Take until finished.,KhuTh il duwa Hata yeKhleS,خذ الدوا حتى يخلص
M-22-06,Take with food.,KhuTh il duwa weeya il-akel,خذ الدوا ويا الأكل
M-22-07,Take on an empty stomach (one hour before or two hours after a meal).,KhuTh il duwa min tikoon baTnak faargha (gabul saa’a lo ba’ad al akel ibsa’teen),خذ الدوا من تكون بطنك فارغة (گبل ساعة لو بعد الأكل بساعتين)
M-22-08,Drink plenty of fluids.,ishrab sawaa-il chetheera,إشرب سوائل چِثيرة
M-22-09,Avoid taking at the same time as dairy products.,itjaneb taKhuTh ibnafs il waqt mantoojaat al Haleeb,إتجنب تاخذ بنفس الوقت منتوجات الحليب
M-22-10,This medicine may change the color of urine or stool.,haThaa il duwa yemken yeghayir lon al bol aw al Khurooj,هذا الدوا يمكن يغير لون البول أو الخروج
M-22-11,Avoid sunlight.,itjanab asha’et al shamis,إتجنب أشعة الشمس
M-22-12,Shake well.,KhuDho zayn,خضو زين
M-22-13,Refrigerate (do not freeze).,Khaleeh bith thelaajah (bas laa itjamido),خليه بالثلاجة (بس لا تجمدو)
M-22-14,May cause heat injury.,yemken yesabib Harg bil jareH,يمكن يسبب حرگ بالجرح
M-22-15,May cause drowsiness (avoid using dangerous machinery).,yemken yesabib doKha (itjanab il ‘amel bil makaayen),يمكن يسبب دوخة (إتجنب العمل بالمكاين)
M-22-16,Take by mouth.,uKhTho ‘an Tareeq il Halig,أخذو عن طريق الحلگ
M-22-17,Place drops in affected ear.,Khalee qaTaraat bil- eThin al muSaaba,خلي قطرات بالإذن المصابة
M-22-18,Inject subcutaneously.,iHgin il ibra taHet il jelid,إحگن الإبرة تحت الجلد
M-22-19,Unwrap and insert one suppository rectally.,iftaH ghilaaf al fateela wa daKhelha bil sharij,إفتح غلاف الفِتيلَة ودخلها بالشرج
M-22-20,Spray in nose.,shima,شمه
M-22-21,Inhale by mouth.,itnafas min Halgak,إتنفس من حلگك
M-22-22,Insert vaginally.,daKheleeha bil mahbal,دخليها بالمهبل
M-22-23,Place in affected eye.,Khaleeh bil ‘een al muSaaba,خليّه بالعين المصابة
M-22-24,Apply to skin.,Khaleeh ‘ala al jelid,خليّه على الجلد
M-22-25,Allow to dissolve under tongue without swallowing (sublingual).,laa tibla’a Khaleeh yeThoob jawa il lisaan,لا تبلعه خليه يذوب جوه اللسان
M-22-26,Tablet,Habaaya,حباية
M-22-27,Capsule,kabsoola,كبسولة
M-22-28,Teaspoonful,mal’agat maal chaay malyaana,ملعگة مال چاي مليانة
M-22-30,Puff,nafKha,نفخة
M-22-31,Spray,rash,رش
M-22-32,Patch,lazga,لزگة
M-22-33,Drop,qaTra,قطرة
M-22-34,Suppository,fiteela,فِتيلَة
M-22-35,Once daily,mara bil yom,مرة باليوم
M-22-36,Twice daily,maratayn bil yom,مرتين باليوم
M-22-37,Three times daily,thalaath maraat bil yom,ثلاث مرات باليوم
M-22-38,Four times daily,arba’ maraat bil yom,أربع مرات باليوم
M-22-39,Five times daily,Khamis maraat bil yom,خمس مرات باليوم
M-22-40,Every twelve hours,kul ithna’ash saa’a,كل أثنعش ساعة
M-22-41,Every eight hours,kul thamin saa’aat,كل ثمن ساعات
M-22-42,Every four hours,kul arba’ saa’aat,كل أربع ساعات
M-22-43,Every two hours,kul saa’tayn,كل ساعتين
M-22-44,Every hour,kul saa’a,كل ساعة
M-22-45,Every morning,yomeeya al SubuH,يوميه الصبح
M-22-46,Every night,kul leyla,كل ليلة
M-22-47,For one week,lemudat isboo’,لمدة أسبوع
M-22-48,For one month,lemudat shahar,لمدة شهر
M-22-49,Today,il yom,اليوم
M-22-50,Now,alHeen,الحين
M-22-51,Tomorrow,baachir,باچر
M-22-52,As needed,‘inda al Haaja,عند الحاجة
M-22-53,Pain,wija’,وجع
M-22-55,Infection,iltihaab,إلتهاب
M-22-56,Difficulty breathing,Su’ooba bit tanafus,صعوبة بالتنفس
M-22-57,Blood pressure,DhagheT al dam,ضغط الدم
M-22-58,High cholesterol,nisbat dehen ‘aaleeya,نسبة دهن عالية
M-22-59,Allergies,Hasaaseeya,حساسية
M-22-60,Allergic reaction,rad fi’l lil Hasaaseeya,رد فعل للحساسية
M-22-61,"Upset stomach, nausea, vomiting","iz’aaj bil me’da, wo l’baan al nafas, wo zwaa’","إزعاج بالمعدة، ولعبان النفس, وزواع"
M-22-62,"Depression, sadness","ka-aaba, Hezen",كآبة، حزن
M-22-63,Congestion,iHtiqaan ree-awee,إحتقان رئوي
M-22-64,Cough,gaHa,گحة
M-22-65,Chest pressure,DhagheT bil Sadir,ضغط بالصدر
M-22-66,Seizure,noba fujaa-eeya teDhrub ‘ala il galub aw il idmaagh,نوبة فجائية تضرب على الگلب أو الدماغ
M-22-67,Insomnia,araq,أرق
M-22-68,Discard remainder when finished,ihmil il baaqee min itKhaliS,إهمل الباقي من تخلص
M-22-69,Apply a thin layer to skin,Khalee Tabaqa Khafeefa ‘al jelid,خلي طبقة خفيفة عالجلد
M-22-70,Do you understand?,tifham?,تفهم؟
M-22-71,1,waaHid,واحد
M-22-72,2,ithnayn,إثنين
M-22-73,3,thlaatha,ثلاثة
M-22-75,5,Khamsa,خمسة
M-22-76,6,sita,ستة
M-22-77,7,sab’a,سبعة
M-22-78,8,thamaaneya,ثمانية
M-22-79,9,tis’a,تسعة
M-22-80,10,‘ashara,عشرة
M-22-81,11,ida’ash,إدعش
M-22-82,12,ithna’ash,إثنعش
M-22-83,13,tlathTa’ash,تلثطعش
M-22-84,14,arba’Ta’ash,أرباعطعش
M-22-85,15,KhmuSTa’ash,خمصطعش
M-22-86,16,sitTa’ash,ستطعش
M-22-87,17,sba’Ta’ash,سبعطعش
M-22-88,18,thaminTa’ash,ثمنطعش
M-22-89,19,tis’Ta’ash,تسعطعش
M-22-90,20,‘ishreen,عشرين
M-22-91,30,thlaatheen,ثلاثين
M-22-92,40,arba’een,أربعين
M-22-93,50,Khamseen,خمسين
M-22-94,60,siteen,ستين
M-22-95,70,seb’een,سبعين
M-22-96,80,thmaaneen,ثمانين
M-22-97,90,tis’een,تسعين
M-22-98,100,emya,إمية
M-22-99,500,Khames meya,خمسمية
M-22-100,1000,alef,ألف
M-22-101,10000,‘asher taalaaf,عشر تالاف
M-22-102,100000,emyat alef,إمية ألف
M-22-103,1000000,milyon,مليون
M-23-01,Do you have any of the following diseases?,‘indak ay maraDh min haay il amraaDh?,عندك أي مرض من هاي الأمراض؟
M-23-02,AIDS,eydz,أيدز
M-23-03,Anemia,fuqur dam,فقر دم
M-23-04,Arthritis,romaateez,روماتيز
M-23-05,Asthma,rabo,ربو
M-23-06,Bronchitis,iltihaab qaSabaat,إلتهاب قصبات
M-23-07,Cancer,saraTaan,سرطان
M-23-08,Chickenpox,jidree il maay,جدري الماي
M-23-09,Cholera,kolera,كوليرا
M-23-10,Common cold,nashla,نشلة
M-23-11,Depression,ka-aaba,كآبة
M-23-13,Diphtheria,Khenaaq,خناق
M-23-14,Disease of the blood,maraDh bil dam,مرض بالدم
M-23-15,Eczema,agzima,أكزما
M-23-16,Fungus,faTir,فطر
M-23-17,Gonorrhea,sayalaan,سيلان
M-23-18,Heart failure,‘ajz il galb,عجز الگلب
M-23-19,Heart murmur,nafHat al galb,نفحة الگلب
M-23-20,Hepatitis,abo iSfaar,أبو صفار
M-23-21,Herpes,laTmat Huma,لطمة حُمّى
M-23-22,Infection anywhere,iltihaab ib-ay makaan,إلتهاب بأي مكان
M-23-23,Influenza,influwenza,إنفلاونزا
M-23-24,Insect bite that is serious,‘aDhat Hashara beeha KhuToora,عضة حشرة بيها خطورة
M-23-25,Yellow skin,jilid aSfar,جلد أصفر
M-23-26,Malaria,malaareeya,ملاريا
M-23-27,Measles,HaSba,حصبة
M-23-28,Mental disease,maraDh ‘aqlee,مرض عقلي
M-23-29,Mumps,nekaaf,نكاف
M-23-30,Nervous breakdown,inheyaar ‘aSabee,إنهيار عصبي
M-23-31,Paratyphoid fever,Huma al tofa-eed,حمى التيفوئيد
M-23-32,Peritonsillar abscess,Khuraaj muHeeT bil lawzatayn,خُراج محيط باللوزتين
M-23-33,Plague,Taa’oon,طاعون
M-23-34,Pleuritis,Thaat al janeb,ذات الجنب
M-23-35,Pneumonia,Thaat al ree-a,ذات الرئة
M-23-36,Polio,shalal aTfaal,شلل أطفال
M-23-38,Ringworm,th’laba,ثعلبة
M-23-39,Scabies,jarab,جرب
M-23-40,Scarlet fever,al Huma al qarmazeeya,الحمى القرمزية
M-23-41,Scurvy,esqarbooT,إسقربوط
M-23-42,Sexually transmitted disease (STD),amraaDh jinseeya,أمراض جنسية
M-23-43,Skin disease,maraDh jildee,مرض جلدي
M-23-44,Smallpox,jidree,جدري
M-23-45,Syphilis,maraDh az zuhree,مرض الزهري
M-23-46,Tapeworm infection,iltihaab al dooda ash shareeTiya,إلتهاب الدودة الشريطية
M-23-47,Tetanus,teetaanoos,تيتانوس
M-23-48,Tonsillitis,iltihaab al lawzatayn,إلتهاب اللوزتين
M-23-49,Trench mouth,iltihaab al latha al Haad,إلتهاب اللثة الحاد
M-23-50,Trichinosis,daa al sha’reeya,داء الشعرية
M-23-51,Tuberculosis,sil,سل
M-23-52,Typhoid fever,teefo,تيفو
M-23-53,Warts,faalool,فالول
M-23-54,Worms,dood,دود
M-23-55,Yellow fever,al Huma al Safraa,الحمى الصفراء
N-01-01,Where is the captain?,wayn an naqeeb?,وين النقيب؟
N-01-02,Where are the weapons?,wayn al asliHa?,وين الأسلحة؟
N-01-03,Where is the control room?,wayn ghurfat al qeeyada?,وين غرفة القيادة؟
N-01-04,Where is the manifest?,wayn al qaa-ima?,وين القائمة؟
N-01-05,How many men are on this ship?,kam rejaal ako ibhaay is safeena?,كم رجال أكو بهاي السفينة؟
N-01-06,Maintain the speed at 5 knots!,thabet is sur’a ‘ala Khames ‘uqad!,ثبت السرعة على خمس عُقد!
N-01-07,Go 180 degrees now!,rooH seer emiya withmaaneen daraja!,روح سير إمية وثمانين درجة!
N-01-08,What is the cargo?,shinoo bil shaHen?,شنو بالشحن؟
N-01-09,Where is the main office?,wayn il maktab ir ra- eesee?,وين المكتب الرئيسي؟
N-01-10,Where is the port?,wayn il meenaa?,وين الميناء؟
N-01-11,Stop the engines!,waguf al muHarekaat!,وگف المحركات!
N-01-12,Muster the crew!,ijma’ il Taaqem!,إجمع الطاقم!
N-01-13,Give me the navy chart.,‘aTnee KhareeTat il imlaaHa,عطني خريطة الملاحة
N-01-14,Give me the ship’s logs.,‘aTnee jadaawil il safeena,عطني جداول السفينة
N-02-01,Guide me to ___.,dilnee ‘ala ___,دلني على ___
N-02-02,Go to ___.,seer le ___,سير لـ ___
N-02-03,Go straight.,seer ‘adil,سير عدل
N-02-04,Go to the north.,seer shimaal,سير شمال
N-02-05,Go to the east.,seer shariq,سير شرق
N-02-06,Go to the west.,seer gharib,سير غرب
N-02-07,Go to the south.,seer janoob,سير جنوب
N-02-08,Follow directions.,itba’ il irshaadaat,إتبع الإرشادات
N-02-09,Walk to ___.,imshee lil ___,إمشي للـ ___
N-02-10,Walk forward.,imshee seeda,إمشي سيدا
N-02-11,Turn to ___.,lif ‘ala ___,لف على ___
N-02-12,Turn to the right.,ila il yameen dur,إلى اليمين دُر
N-02-13,Turn to the left.,ila il yasaar dur,إلى اليسار دُر
N-02-14,About face.,ila il Khal dur,إلى الخل دُر
N-03-01,Load the weapon.,‘abee al islaaH,عَبّي السلاح
N-03-02,Get ready.,ista’id,إستعد
N-03-03,Fire!,irmee!,إرمِي!
N-03-04,Pull the slide.,isHab aqsaam,إسحب أقسام
N-03-05,Clear on the right.,iKhlaa ‘al yimna,إخلاء عاليمنة
N-03-06,Clear on the left.,iKhlaa ‘al yisra,إخلاء عاليسرة
N-03-07,Secure the magazine.,amin al islaaH,أ ِّمن السلاح
N-03-08,Pull the trigger.,iDhgheT ‘al iznaad,أُضغط عالزناد
N-03-09,Don’t shoot!,laa tirmee!,لا ترمي!
N-04-01,Do you have ___?,‘indak ___?,عندك ___؟
N-04-02,Do you have weapons?,‘indak asliHa?,عندك أسلحة؟
N-04-03,Do you have weapons of mass destruction?,‘indak asliHat damaar shaamil?,عندك أسلحة دمار شامل؟
N-04-04,Do you have ammunition?,shaayil ‘etaad?,شايل عتاد؟
N-04-05,Do you have water?,shaayil maay?,شايل ماي؟
N-04-06,Do you have POWs?,‘indak asra Harub?,عندك أسرى حرب؟
N-04-07,Do you need ___?,inta miHtaaj ___?,إنتَ محتاج ___؟
N-04-08,I need ___.,anaa aHtaaj ___,أنا أحتاج ___
N-04-09,I need the police.,anaa areed al shurTa,أنا أريد الشرطة
N-04-10,I need help.,anaa miHtaaj musaa’ada,أنا محتاج مساعدة
N-04-11,I need medicine.,abee duwaa,أبي دوا
